Current_Loan_Amount,Term,Credit_Score,Annual_Income,Years_in_current_job,Home_Ownership,Purpose,Monthly_Debt,Years_of_Credit_History,Months_since_last_delinquent,Number_of_Open_Accounts,Number_of_Credit_Problems,Current_Credit_Balance,Maximum_Open_Credit,Bankruptcies,Tax_Liens,ID,loan_default
268444,Long Term,682,1062556,4 years,Rent,Other,26032.66,8.1,NA,5,0,45828,55902,0,0,59320,1
267850,Short Term,700,1445805,10+ years,Rent,Debt Consolidation,7879.68,27.6,NA,9,0,163761,392590,0,0,59380,0
431640,Short Term,726,1485154,4 years,Rent,Debt Consolidation,27227.76,16.2,72,21,1,278711,436106,0,0,59460,0
99999999,Long Term,722,495729,2 years,Rent,Buy a Car,10658.24,27.9,NA,13,0,121315,295746,0,0,59470,0
181588,Short Term,741,1104869,1 year,Home Mortgage,Business Loan,16204.91,14.7,NA,11,0,94810,751960,0,0,59500,1
117832,Short Term,707,817855,10+ years,Home Mortgage,Debt Consolidation,15130.46,9.4,NA,12,1,186390,262570,1,0,59510,0
771386,Short Term,730,1865344,7 years,Rent,Debt Consolidation,21606.99,25.7,NA,10,0,224656,485342,0,0,59600,0
787798,Long Term,691,3499002,10+ years,Home Mortgage,Debt Consolidation,26300.75,13,NA,14,0,471561,938190,0,0,59610,0
438812,Short Term,748,1421162,3 years,Rent,Debt Consolidation,9971.77,31.4,NA,10,0,182058,775038,0,0,59640,0
346544,Short Term,652,1122330,3 years,Home Mortgage,Debt Consolidation,17209.06,20.5,NA,9,0,388987,525558,0,0,59710,1
88946,Short Term,733,576156,4 years,Rent,Debt Consolidation,9074.4,8.9,NA,6,0,70452,213532,0,0,59720,0
176858,Short Term,681,963680,1 year,Rent,Debt Consolidation,6440.62,19.5,26,5,0,53542,102630,0,0,59730,1
181742,Short Term,7030,464360,10+ years,Rent,other,8668.18,10.6,NA,13,0,206188,775170,0,0,59740,1
300542,Short Term,,,< 1 year,Rent,Debt Consolidation,10004.64,16.2,60,10,0,1843,153010,0,0,59780,0
102520,Short Term,736,1833063,2 years,Home Mortgage,Debt Consolidation,15275.62,19.4,12,6,2,34162,73392,2,0,59840,0
249238,Short Term,747,542792,5 years,Home Mortgage,Debt Consolidation,9919.52,22.3,NA,8,0,344318,853710,0,0,59870,0
185856,Short Term,,,10+ years,Rent,Debt Consolidation,24076.42,14.8,NA,12,1,114646,252384,1,0,59880,0
787798,Long Term,677,3596206,< 1 year,Home Mortgage,Home Improvements,31466.66,17.1,NA,6,0,0,0,0,0,59900,1
768306,Long Term,,,8 years,Own Home,Business Loan,15014.94,16.8,3,10,0,237158,504790,0,0,59930,0
402842,Short Term,725,1604284,5 years,Rent,Debt Consolidation,4304.83,14.3,63,5,0,130226,253000,0,0,59950,0
652388,Short Term,699,1252043,< 1 year,Rent,Debt Consolidation,15546.18,14,NA,9,0,383667,1033120,0,0,60030,1
313720,Short Term,751,1645039,3 years,Rent,Debt Consolidation,14613.28,14.6,NA,6,0,149891,301312,0,0,60050,0
390896,Short Term,717,1687941,5 years,Home Mortgage,Debt Consolidation,31789.47,15.5,30,19,0,108604,245630,0,0,60080,0
99999999,Long Term,716,1416165,5 years,Rent,Debt Consolidation,9346.67,14.5,67,13,0,373312,883960,0,0,60170,0
109780,Short Term,739,2654680,10+ years,Home Mortgage,Debt Consolidation,32741.18,15.6,17,16,0,398981,494098,0,0,60180,0
148500,Short Term,,,2 years,Rent,Other,6597.56,18.4,NA,4,0,33554,658570,0,0,60210,0
432894,Short Term,715,1174732,n/a,Home Mortgage,Debt Consolidation,30347.37,6.6,NA,8,0,237139,453134,0,0,60220,0
99999999,Short Term,716,1614563,3 years,Rent,Debt Consolidation,13723.7,13.7,77,5,0,249812,345576,0,0,60230,0
99999999,Short Term,725,1542192,10+ years,Home Mortgage,other,28916.1,19.8,NA,15,0,118256,1045176,0,0,60260,0
95084,Short Term,701,981673,8 years,Own Home,Home Improvements,3722.29,16.8,NA,7,2,50160,89628,0,2,60310,0
328350,Long Term,683,710087,< 1 year,Rent,Debt Consolidation,17397.16,15.2,46,10,0,315153,489148,0,0,60340,1
518078,Short Term,723,1864280,5 years,Home Mortgage,Debt Consolidation,26721.22,17.5,NA,18,0,390621,886864,0,0,60350,0
289696,Short Term,737,769804,4 years,Rent,Debt Consolidation,5446.35,14.8,26,9,0,177555,345532,0,0,60370,0
106678,Short Term,,,2 years,Home Mortgage,Debt Consolidation,20897.72,12,60,19,0,229463,455730,0,0,60420,1
33022,Short Term,749,2281824,10+ years,Home Mortgage,Other,53052.37,17.7,NA,21,0,74100,2200066,0,0,60440,0
321024,Short Term,728,2271811,< 1 year,Rent,Debt Consolidation,32941.44,21,46,15,1,234707,389928,1,0,60470,0
259512,Short Term,751,1643576,2 years,Home Mortgage,Debt Consolidation,29310.35,12.5,NA,9,0,245860,523336,0,0,60480,0
220088,Short Term,738,1102437,7 years,Home Mortgage,Debt Consolidation,11300.06,10,NA,11,0,199614,576400,0,0,60500,0
99999999,Short Term,734,1770382,4 years,Home Mortgage,Debt Consolidation,20064.38,16.6,59,15,2,163552,325380,2,0,60540,0
397144,Long Term,706,1524408,10+ years,Rent,Debt Consolidation,14735.83,14.3,30,8,0,534147,988020,0,0,60570,0
234344,Short Term,717,1143116,10+ years,Rent,Debt Consolidation,17337.5,15.9,NA,8,1,193230,353452,1,0,60600,0
105138,Short Term,718,1513312,9 years,Rent,vacation,31653.43,29,66,18,0,307287,613448,0,0,60620,0
366762,Short Term,721,1414037,4 years,Home Mortgage,Debt Consolidation,16025.74,25.3,21,10,0,294994,417054,0,0,60710,0
399168,Short Term,,,3 years,Home Mortgage,Debt Consolidation,49951.38,23.4,26,17,0,448020,619036,0,0,60730,0
88550,Short Term,737,688237,< 1 year,Rent,Debt Consolidation,4054.98,12.8,0,4,0,80674,174944,,0,60750,0
324346,Short Term,6410,1511640,5 years,Rent,Debt Consolidation,4295.52,15,NA,5,0,96292,172876,0,0,60760,1
99999999,Long Term,739,966359,4 years,Own Home,Debt Consolidation,7996.72,16.5,10,18,0,278103,1066296,0,0,60770,0
261822,Short Term,7080,566466,< 1 year,Rent,Debt Consolidation,8780.28,9.7,13,10,1,109174,321662,1,0,60780,1
313632,Short Term,739,715863,5 years,Rent,Debt Consolidation,10917.02,15.5,28,7,0,301625,521290,0,0,60790,0
99999999,Short Term,734,1359545,4 years,Home Mortgage,Debt Consolidation,15295,17,17,20,0,275538,776248,0,0,60830,0
222596,Short Term,,,6 years,Rent,Debt Consolidation,18671.49,15.2,40,16,0,288572,768130,0,0,60860,1
144320,Short Term,7370,495520,< 1 year,Rent,Business Loan,8081.08,14.5,NA,10,0,181925,281996,0,0,60870,1
99999999,Short Term,714,2047364,10+ years,Own Home,Debt Consolidation,40094.18,21.3,NA,11,0,310935,376992,0,0,60880,0
96580,Short Term,721,741456,7 years,Home Mortgage,Debt Consolidation,9021.2,15.4,NA,10,1,139061,216722,1,0,60900,0
198198,Short Term,750,2662660,10+ years,Own Home,Debt Consolidation,35280.34,21,NA,20,0,1954074,9967430,0,0,60970,0
172678,Short Term,739,1155732,< 1 year,Rent,Debt Consolidation,16950.66,12.7,NA,6,1,117192,151118,1,0,61020,0
468886,Long Term,664,1032916,4 years,Own Home,Debt Consolidation,16871.05,10,13,8,0,168511,439450,0,0,61040,0
261866,Long Term,717,1055374,1 year,Home Mortgage,Debt Consolidation,22514.81,11.4,NA,14,0,355205,493174,0,0,61060,0
51788,Short Term,737,1944270,6 years,Home Mortgage,Debt Consolidation,19118.56,12.9,NA,7,0,113050,207130,0,0,61080,0
99999999,Long Term,670,933185,10+ years,Own Home,Debt Consolidation,10342.84,13.2,71,8,1,115463,194590,1,0,61140,0
99999999,Short Term,740,931190,4 years,Rent,Debt Consolidation,13191.89,9,NA,7,0,319675,560846,0,0,61170,0
606210,Short Term,,,5 years,Home Mortgage,Debt Consolidation,63264.3,30.4,NA,16,0,3344266,8586050,0,0,61190,0
99999999,Short Term,742,1049180,10+ years,Home Mortgage,Debt Consolidation,22032.78,9.9,NA,7,0,591413,781748,0,0,61200,0
153164,Short Term,725,614840,1 year,Rent,Debt Consolidation,12220.04,10.1,NA,10,0,95912,267608,0,0,61250,1
175076,Short Term,707,669864,8 years,Own Home,Debt Consolidation,11722.43,12,NA,12,0,629869,999086,0,0,61290,0
390940,Long Term,,,10+ years,Rent,Debt Consolidation,1384.15,20.4,10,7,0,40717,857296,0,0,61300,1
217162,Short Term,7420,750196,5 years,Rent,Debt Consolidation,18004.78,8.1,NA,6,0,35473,266662,0,0,61310,1
99999999,Short Term,698,2396147,< 1 year,Home Mortgage,Business Loan,79.99,26.4,NA,5,0,51148,77704,0,0,61320,0
34628,Short Term,722,1214993,4 years,Rent,Debt Consolidation,5852.19,10.2,32,10,0,62643,259952,0,0,61350,0
136510,Short Term,705,960887,n/a,Home Mortgage,Debt Consolidation,10569.7,22.6,NA,14,1,240350,466158,1,0,61390,0
105424,Short Term,710,1669321,10+ years,Home Mortgage,Home Improvements,34638.52,15.1,NA,13,0,1962282,2791316,0,0,61420,0
210804,Short Term,692,558771,3 years,Rent,Debt Consolidation,17554.67,6.8,NA,12,0,75297,325358,0,0,61430,0
555896,Long Term,,,10+ years,Home Mortgage,Debt Consolidation,18841.73,12.8,NA,13,0,443878,776402,0,0,61490,1
263384,Long Term,707,815119,10+ years,Home Mortgage,Debt Consolidation,8355.06,14.5,69,8,0,353818,598950,0,0,61500,0
338162,Long Term,6310,739841,< 1 year,Own Home,Buy House,7521.53,16.3,NA,9,0,626867,1080134,0,0,61510,1
62568,Short Term,,,10+ years,Rent,Debt Consolidation,24134.37,20.1,NA,5,0,49438,127512,0,0,61530,0
404668,Long Term,685,1941610,< 1 year,Home Mortgage,Debt Consolidation,19577.79,10.7,44,9,0,311277,472384,0,0,61540,0
322410,Short Term,750,1522166,10+ years,Rent,Debt Consolidation,33868.26,21.3,63,11,0,329764,1272810,0,0,61600,0
647064,Long Term,736,1862684,10+ years,Rent,Debt Consolidation,27552.28,23,NA,13,0,178657,701250,0,0,61620,0
425722,Short Term,742,822092,10+ years,Rent,Debt Consolidation,16167.86,16.2,NA,7,0,554952,752422,0,0,61640,0
439252,Long Term,690,2231550,1 year,Rent,Debt Consolidation,30311.65,19.3,13,17,0,327845,492360,0,0,61670,0
532818,Long Term,681,1182598,3 years,Home Mortgage,Debt Consolidation,24834.52,13.1,27,11,0,176852,853248,0,0,61730,0
387090,Short Term,740,1188640,10+ years,Home Mortgage,Debt Consolidation,13966.52,15.7,NA,4,2,113810,236588,1,1,61750,0
625416,Long Term,725,1794037,10+ years,Rent,Debt Consolidation,30199.55,32.2,NA,13,0,907288,2225718,0,0,61770,1
216832,Long Term,703,1029952,2 years,Rent,Debt Consolidation,25920.56,14,15,8,1,97052,197164,1,0,61780,0
170192,Short Term,746,1206975,5 years,Home Mortgage,Debt Consolidation,6829.55,15,25,5,0,147440,200618,0,0,61790,0
161832,Short Term,719,776492,2 years,Rent,Debt Consolidation,18571.17,13,25,13,0,173679,603922,0,0,61910,0
53592,Short Term,733,1446375,10+ years,Rent,Debt Consolidation,18561.86,7,34,11,0,868129,3284996,0,0,61940,0
89628,Short Term,731,1547968,2 years,Own Home,Other,24122.59,10.2,NA,5,0,84284,134420,0,0,61960,0
312554,Short Term,737,796689,5 years,Rent,Debt Consolidation,15468.85,25.6,NA,4,0,206606,325490,0,0,61980,0
134552,Short Term,724,872176,< 1 year,Rent,Other,6475.96,7.9,NA,7,1,93499,220506,1,0,62020,0
417890,Long Term,696,1466135,10+ years,Home Mortgage,Debt Consolidation,12217.95,29.3,NA,9,0,298680,441694,0,0,62070,0
220088,Short Term,695,1330532,10+ years,Rent,other,34593.87,17.5,40,9,0,435822,587488,0,0,62190,0
141988,Short Term,699,1111367,2 years,Rent,other,1917.1,8,NA,3,0,81453,321904,0,0,62220,0
87516,Short Term,750,1758735,2 years,Home Mortgage,Other,5745.22,28.2,NA,11,0,6023,2326302,0,0,62270,0
217536,Short Term,738,751488,< 1 year,Home Mortgage,Debt Consolidation,12712.71,22.8,NA,11,0,360411,563178,0,0,62310,1
223146,Short Term,721,1734453,10+ years,Home Mortgage,Debt Consolidation,39025.24,15.4,1,10,1,92093,236456,1,0,62370,0
104324,Long Term,5960,518054,7 years,Own Home,Debt Consolidation,10576.92,17,NA,6,0,105545,262812,0,0,62410,1
269060,Short Term,723,859788,1 year,Rent,Debt Consolidation,6040.1,9.4,NA,6,0,164825,289630,0,0,62430,0
183524,Short Term,,,4 years,Rent,Debt Consolidation,13736.43,13,65,9,2,169157,399740,1,1,62440,0
26422,Short Term,700,1331463,5 years,Rent,vacation,17974.76,12.2,25,13,0,192565,231308,0,0,62470,1
532268,Short Term,676,1130082,10+ years,Rent,Debt Consolidation,22224.87,19.8,NA,14,0,852074,1200254,0,0,62500,1
260546,Short Term,734,1378678,10+ years,Home Mortgage,Debt Consolidation,31479.77,17.7,7,26,0,479427,1149346,0,0,62510,0
528484,Long Term,708,1369235,10+ years,Home Mortgage,Debt Consolidation,27270.51,26.7,8,17,0,491891,805618,0,0,62520,0
125664,Short Term,744,1744200,10+ years,HaveMortgage,Take a Trip,45203.85,18.2,NA,11,0,494684,825352,0,0,62600,1
32186,Short Term,722,352127,10+ years,Home Mortgage,Buy a Car,5076.42,15.1,NA,8,1,54093,163130,1,0,62610,0
219934,Long Term,712,854753,2 years,Rent,Debt Consolidation,15955.25,13,NA,29,0,317015,481712,0,0,62640,1
229878,Long Term,681,557745,n/a,Rent,Debt Consolidation,17383.29,10.8,NA,10,0,454195,615098,0,0,62650,1
276254,Short Term,729,2384937,10+ years,Rent,Debt Consolidation,36370.37,20.2,13,18,0,372951,901538,0,0,62660,0
267388,Short Term,705,1347024,1 year,Home Mortgage,Debt Consolidation,8912.9,20.8,45,7,0,375421,476630,0,0,62690,0
65692,Short Term,746,756504,6 years,Own Home,Home Improvements,13503.68,13.5,NA,8,0,43377,88748,0,0,62770,0
194062,Short Term,736,893855,3 years,Home Mortgage,Debt Consolidation,16908.67,23,33,9,0,263473,716166,0,0,62890,0
99999999,Short Term,732,511347,10+ years,Home Mortgage,Debt Consolidation,11292.27,18.8,NA,17,1,198911,547096,1,0,62920,0
442640,Long Term,,,2 years,Rent,other,16546.34,16,32,12,0,85329,283096,0,0,62930,0
266486,Short Term,745,1054823,10+ years,Home Mortgage,Debt Consolidation,10548.23,20.4,41,11,0,146908,567006,0,0,62940,0
223300,Short Term,7380,1072246,1 year,Home Mortgage,Debt Consolidation,18407.01,20.7,NA,8,1,272802,366036,0,1,62960,1
99999999,Long Term,698,2517424,10+ years,Home Mortgage,Debt Consolidation,23076.45,17.3,73,18,0,1602346,3301320,0,0,62980,0
99999999,Short Term,677,1350482,2 years,Home Mortgage,Debt Consolidation,22733.12,26.9,1,10,0,100358,225654,0,0,62990,0
380072,Long Term,690,820591,3 years,Own Home,Debt Consolidation,13471.57,19.7,3,20,0,429096,1287154,0,0,63020,0
301246,Short Term,,,2 years,Rent,Debt Consolidation,16201.11,21.6,42,11,0,293911,630234,0,0,63030,0
259490,Long Term,653,659224,10+ years,Home Mortgage,other,17195,16.2,45,6,0,236683,289696,0,0,63060,0
222112,Short Term,,,1 year,Rent,Debt Consolidation,3834.2,16.8,NA,8,0,115748,353628,0,0,63070,0
319022,Short Term,,,1 year,Rent,Debt Consolidation,22113.53,10.1,39,10,0,166231,307956,0,0,63100,0
389378,Short Term,701,873468,10+ years,Rent,Debt Consolidation,24748.26,21.3,45,15,0,421230,582010,0,0,63140,1
354640,Long Term,712,1186835,10+ years,Home Mortgage,Debt Consolidation,22055.39,12,NA,15,0,201400,544852,0,0,63160,0
99999999,Long Term,728,1339443,10+ years,Home Mortgage,other,16519.74,17.1,NA,16,0,69749,308242,0,0,63190,0
534908,Long Term,713,1693907,10+ years,Home Mortgage,Debt Consolidation,18632.92,16.1,50,6,0,133741,189530,0,0,63210,0
436832,Long Term,706,949943,6 years,Own Home,Home Improvements,752.02,13,43,6,0,27322,250998,0,0,63270,0
276562,Short Term,653,1642075,10+ years,Home Mortgage,Debt Consolidation,25862.61,12.9,14,12,0,275462,384736,0,0,63290,0
153802,Short Term,,,7 years,Home Mortgage,Debt Consolidation,9234.76,19.4,NA,8,1,131898,241648,1,0,63410,0
398068,Long Term,,,10+ years,Rent,Debt Consolidation,23563.23,23.7,NA,9,0,473043,594726,0,0,63430,0
290378,Short Term,698,1408147,4 years,Rent,Debt Consolidation,22882.46,22.7,45,14,0,271187,446666,0,0,63450,0
400312,Short Term,745,1229262,10+ years,Rent,Debt Consolidation,24687.46,15.9,NA,12,0,420964,881430,0,0,63540,1
386364,Long Term,727,772407,3 years,Home Mortgage,Debt Consolidation,7917.11,20.2,77,7,1,123861,203742,1,0,63550,1
99999999,Short Term,714,2042956,< 1 year,Rent,Debt Consolidation,28260.98,17.9,NA,8,0,180063,238832,0,0,63570,0
263098,Short Term,735,1893540,< 1 year,Home Mortgage,Debt Consolidation,13854.42,23.2,37,10,0,2069651,4726722,0,0,63610,0
186076,Short Term,705,794086,10+ years,Rent,Debt Consolidation,12242.27,29.2,NA,17,1,179018,304370,1,0,63620,1
199430,Short Term,728,956840,10+ years,Home Mortgage,Debt Consolidation,16664.9,13.3,23,8,0,131461,174988,0,0,63650,1
547316,Long Term,,,10+ years,Rent,Debt Consolidation,31820.25,22.6,74,16,0,320720,1003662,0,0,63810,1
528176,Long Term,709,991610,2 years,Home Mortgage,Debt Consolidation,19997.5,16.4,75,7,0,282017,546964,0,0,63820,0
175868,Short Term,,,10+ years,Home Mortgage,Debt Consolidation,3828.12,16,NA,11,1,137256,573760,1,0,63850,1
264880,Short Term,745,857831,n/a,Rent,Debt Consolidation,21945.95,21.1,68,10,1,79192,139128,1,0,63880,1
134486,Short Term,724,561355,2 years,Rent,Other,7643.7,13.3,11,4,0,7524,17930,0,0,63920,0
130196,Short Term,737,1293045,6 years,Own Home,Debt Consolidation,21550.75,14.2,NA,13,0,681416,1122330,0,0,63940,0
247412,Short Term,741,1144674,2 years,Rent,Debt Consolidation,19840.94,10.3,NA,16,0,221863,648692,0,0,63950,0
315172,Short Term,740,1302659,8 years,Home Mortgage,Debt Consolidation,16934.51,15,NA,10,0,331797,411752,0,0,63970,0
315128,Short Term,733,655101,10+ years,Rent,Debt Consolidation,10645.51,15,NA,12,0,201172,428208,0,0,63990,1
142164,Short Term,747,906623,10+ years,Rent,Debt Consolidation,13523.82,15.4,NA,6,0,143735,332200,0,0,64010,0
432432,Short Term,734,1073557,1 year,Rent,Debt Consolidation,18518.92,19.7,32,7,0,354711,527252,0,0,64090,0
552486,Long Term,682,2290260,10+ years,Home Mortgage,Debt Consolidation,37407.58,19.7,24,9,0,199006,263054,0,0,64100,1
545182,Long Term,669,1487320,10+ years,Rent,Debt Consolidation,19211.09,21.4,14,12,0,189639,383196,0,0,64130,0
558140,Long Term,667,1687105,3 years,Home Mortgage,Debt Consolidation,31984.6,16.4,NA,15,0,475817,747560,0,0,64170,0
334950,Short Term,746,1967070,10+ years,Own Home,Buy a Car,10179.63,18.1,NA,7,0,78185,1508782,0,0,64180,0
526966,Long Term,,,10+ years,Home Mortgage,Debt Consolidation,27735.25,22.6,NA,17,0,677806,1078066,0,0,64200,1
231066,Short Term,749,1168158,3 years,Rent,Debt Consolidation,21513.51,16,NA,8,0,261288,461912,0,0,64230,0
465410,Long Term,688,1722654,3 years,Rent,Buy House,15647.45,22.3,30,7,0,107559,488356,0,0,64260,0
355102,Long Term,696,1533376,10+ years,Home Mortgage,Debt Consolidation,23128.51,14.9,28,11,0,126331,197406,0,0,64280,0
242726,Short Term,,,5 years,Home Mortgage,Debt Consolidation,25637.84,14,16,7,1,123747,169972,1,0,64290,0
133716,Short Term,734,981597,1 year,Rent,Debt Consolidation,6200.46,21.6,NA,3,0,285019,613404,0,0,64310,0
339020,Short Term,716,868927,7 years,Rent,Debt Consolidation,24330.07,14.8,NA,11,1,301929,620972,1,0,64320,0
65670,Short Term,678,1928500,10+ years,Rent,Debt Consolidation,16552.99,19.8,25,11,0,105849,221210,0,0,64340,1
223102,Long Term,703,770716,< 1 year,Home Mortgage,Debt Consolidation,10211.93,8.7,30,12,0,141284,359546,0,0,64360,0
561550,Short Term,,,n/a,Home Mortgage,Debt Consolidation,39118.15,33.9,3,12,1,449844,1225576,0,1,64370,1
108064,Short Term,701,1343927,10+ years,Home Mortgage,Debt Consolidation,25758.49,27.6,6,17,0,1452436,2313300,0,0,64390,0
131428,Short Term,704,1456559,10+ years,Home Mortgage,Medical Bills,22940.79,30,NA,7,0,676780,1137356,0,0,64400,0
270094,Long Term,,,6 years,Home Mortgage,Debt Consolidation,27217.69,8.7,NA,14,0,222262,470492,0,0,64420,0
172370,Short Term,714,724223,5 years,Rent,Buy a Car,5063.31,18,75,3,0,0,0,0,0,64430,0
325094,Short Term,715,1310183,< 1 year,Rent,Debt Consolidation,8417.95,16.9,NA,5,1,138567,303270,1,0,64540,0
312972,Long Term,669,938505,1 year,Home Mortgage,Debt Consolidation,21272.78,16.8,17,13,0,58995,76076,0,0,64550,0
257488,Short Term,,,6 years,Own Home,Debt Consolidation,39818.49,23.3,NA,19,1,85120,679668,0,1,64650,0
112266,Short Term,739,674747,1 year,Rent,Other,4689.58,8.9,NA,7,0,55157,152812,0,0,64730,1
267014,Long Term,698,1056913,3 years,Rent,Debt Consolidation,27303.57,10,29,13,0,196175,454322,0,0,64750,0
110374,Short Term,704,876888,10+ years,Rent,Debt Consolidation,10961.1,22.5,NA,8,0,342779,397298,0,0,64760,0
449240,Long Term,,,10+ years,Own Home,Debt Consolidation,17113.3,21.5,13,27,0,367916,1036530,0,0,64790,0
264572,Long Term,725,1137492,10+ years,Rent,Debt Consolidation,13460.55,14.1,NA,11,0,224333,460548,0,0,64840,0
171094,Short Term,,,3 years,Rent,Debt Consolidation,21696.1,11.4,NA,12,0,164901,591162,0,0,64960,0
225148,Long Term,721,680561,10+ years,Home Mortgage,Debt Consolidation,13100.88,12.7,42,13,0,152741,414172,0,0,65000,1
85514,Short Term,686,309282,3 years,Rent,Debt Consolidation,5412.53,12,NA,6,0,231743,354948,0,0,65050,0
207900,Short Term,744,1621593,10+ years,Own Home,Debt Consolidation,24594.36,19.8,NA,13,1,342532,944350,1,0,65110,0
108856,Short Term,,,10+ years,Home Mortgage,Medical Bills,15617.05,26.9,NA,15,0,387467,570064,0,0,65120,0
111650,Short Term,717,482087,4 years,Rent,other,7793.61,17.8,NA,13,0,304988,576070,0,0,65160,0
223432,Short Term,7460,1389337,4 years,Home Mortgage,Debt Consolidation,26860.68,28.9,NA,9,0,452029,692340,0,0,65170,1
154154,Short Term,691,494494,< 1 year,Home Mortgage,Debt Consolidation,2662.09,9,7,8,0,50692,180576,0,0,65200,0
224488,Short Term,738,1454070,7 years,Home Mortgage,Debt Consolidation,1975.24,18.1,22,7,1,128231,186296,1,0,65290,0
432454,Long Term,713,1089327,10+ years,Home Mortgage,Debt Consolidation,14705.81,21.5,39,16,0,170943,764258,0,0,65300,0
395890,Long Term,683,1069358,7 years,Rent,Debt Consolidation,28961.7,17.4,66,9,0,297863,388828,0,0,65340,0
34650,Short Term,734,1215981,10+ years,Home Mortgage,Debt Consolidation,14490.35,18,NA,10,1,208430,324830,1,0,65350,1
622336,Short Term,678,2706588,2 years,Rent,Debt Consolidation,26389.29,10,NA,9,0,285627,339922,0,0,65370,0
99999999,Short Term,746,818786,6 years,Rent,Take a Trip,3759.53,20.3,53,6,1,5814,268906,1,0,65390,0
120010,Short Term,747,380817,n/a,Rent,Debt Consolidation,3198.65,22.7,NA,6,1,128174,311784,1,0,65450,0
773630,Long Term,,,n/a,Rent,Debt Consolidation,38250.23,39,NA,15,0,764712,2529890,0,0,65460,1
285032,Long Term,,,8 years,Rent,Debt Consolidation,8385.46,11.6,NA,11,0,243523,589930,0,0,65470,0
322014,Short Term,700,806493,10+ years,Home Mortgage,Debt Consolidation,12635.19,26.5,NA,4,0,23503,32230,0,0,65480,0
99999999,Short Term,743,740278,8 years,Rent,Debt Consolidation,15669.3,11.4,NA,8,0,151126,307560,0,0,65490,0
598114,Short Term,745,1820884,3 years,Home Mortgage,Debt Consolidation,39452.36,19,NA,15,0,570323,1414072,0,0,65500,1
137456,Short Term,713,1168215,9 years,Home Mortgage,Debt Consolidation,13239.96,14.6,65,13,0,136097,263978,0,0,65520,0
217800,Long Term,730,1504800,10+ years,Home Mortgage,Debt Consolidation,23324.4,15.7,NA,23,1,278445,1176692,1,0,65530,0
214632,Long Term,646,648774,4 years,Rent,Business Loan,10715.43,8.8,NA,5,0,63897,130944,0,0,65580,0
587928,Long Term,614,1560128,10+ years,Home Mortgage,Debt Consolidation,26392.33,12.5,NA,18,0,320777,785268,0,0,65600,0
108262,Short Term,,,3 years,Rent,Debt Consolidation,3384.28,18.9,31,8,2,70167,153296,1,0,65680,0
52800,Short Term,743,570057,5 years,Rent,Debt Consolidation,5472.57,13,NA,2,0,0,0,0,0,65700,0
757306,Long Term,718,2036838,10+ years,Home Mortgage,Debt Consolidation,25120.85,33,16,10,0,1091113,1399090,0,0,65710,0
332838,Short Term,705,1590566,10+ years,Rent,Debt Consolidation,13254.78,22.5,26,9,0,293170,390610,0,0,65790,0
135718,Short Term,710,843885,< 1 year,Rent,Other,15330.53,22.6,14,4,0,22420,34760,0,0,65850,0
99999999,Short Term,751,1512096,2 years,Rent,Debt Consolidation,12852.74,30.3,NA,9,0,150366,784234,0,0,65870,0
90596,Short Term,685,265582,< 1 year,Rent,Debt Consolidation,2766.4,11.5,NA,5,0,170297,259094,0,0,65880,0
261844,Short Term,6470,1206025,3 years,Rent,other,20502.52,17.6,19,6,1,61541,181324,1,0,65920,1
101970,Short Term,718,1751667,8 years,Rent,Debt Consolidation,15181,12.9,4,7,0,36024,72798,0,0,65960,0
99999999,Short Term,738,2828625,9 years,Rent,other,12540.19,16.6,NA,9,0,407056,986040,0,0,65980,0
352990,Long Term,719,1324205,2 years,Home Mortgage,Debt Consolidation,24166.67,12.1,NA,12,0,417658,745184,0,0,65990,0
99999999,Long Term,697,1851550,1 year,Home Mortgage,other,29964.33,16.3,25,12,0,163495,428274,0,0,66000,0
757768,Long Term,689,1383637,6 years,Own Home,Debt Consolidation,27672.93,25,NA,24,0,401394,1223068,0,0,66020,0
224708,Short Term,729,1940660,10+ years,Rent,Debt Consolidation,27330.93,16,12,9,0,8455,217712,0,0,66080,0
166430,Short Term,,,8 years,Own Home,Debt Consolidation,8888.2,22.6,NA,7,1,106818,235114,1,0,66160,0
111276,Short Term,,,10+ years,Home Mortgage,Debt Consolidation,2691.92,38.4,12,6,0,101650,518540,0,0,66180,0
119042,Short Term,739,500175,10+ years,Rent,Debt Consolidation,11462.32,22.9,49,12,0,322620,542960,0,0,66200,0
217668,Short Term,736,526357,4 years,Rent,Debt Consolidation,8728.79,20.3,NA,5,0,134786,169818,0,0,66210,1
335060,Short Term,684,1157442,5 years,Rent,other,8111.67,21.8,NA,12,0,218861,382228,0,0,66260,0
145068,Short Term,,,10+ years,Home Mortgage,Debt Consolidation,32668.79,13,2,18,1,112613,724416,0,0,66330,0
99999999,Short Term,722,1536568,7 years,Home Mortgage,Home Improvements,15877.92,13.5,28,13,0,147801,220242,0,0,66350,0
369336,Short Term,705,3303682,2 years,Own Home,Debt Consolidation,25576.09,16.5,NA,9,0,12407,202202,0,0,66380,1
317746,Long Term,726,2667980,9 years,Home Mortgage,Debt Consolidation,19520.6,10.9,NA,12,0,251465,330858,0,0,66440,0
266222,Short Term,742,1149576,4 years,Rent,Debt Consolidation,4425.86,6.6,NA,15,0,136743,659736,0,0,66450,0
